name,data
Woodcrafty,"[{""name"": ""Woodcrafty"",""type"": ""Trait"",""data"": {""notes"": ""Woodcrafty: Your Kin get a special +15 bonus to their Nature and Wandering Rolls to forage and navigate in woods, forests, jungles, and similar terrains. Additionally, each counts only as half a group member (rounding up) for the purpose of calculating their group’s size when Camping."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Woodcrafty"",""type"": ""Modifier"",""data"": {""notes"": ""Woodcrafty: Your kin get a special +15 bonus to their Nature and Wandering Rolls to forage and navigate in woods, forests, jungles, and similar terrains. Additionally, they count only as half a group member (rounding up) for the purpose of calculating their group’s size when Camping."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 15,""formula"": ""+15"",""category"": ""skill"",""targets"": ""Nature, Wandering""}},""tempName"": ""Woodcrafty""}}]"
Wicked Artifice,"[{""name"": ""Wicked Artifice"",""type"": ""Trait"",""data"": {""notes"": ""Wicked Artifice: While your Kin seldom make beautiful things, they often create clever mechanisms and contraptions. They gain a special +15 bonus to their Locks & Traps Skill."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Wicked Artifice"",""type"": ""Modifier"",""data"": {""notes"": ""Wicked Artifice: While your kin seldom make beautiful things,\nthey often create clever mechanisms and contraptions. Your kin gain a special +15 bonus to their Locks & Traps Skill."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 15,""formula"": ""+15"",""category"": ""skill"",""targets"": ""Locks & Traps""}},""tempName"": ""Wicked Artifice""}}]"
Sure-Shot,"[{""name"": ""Sure-Shot"",""type"": ""Trait"",""data"": {""notes"": ""Sure-Shot: Your Kin get a special +10 bonus to their Ranged Skill."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Sure-Shot"",""type"": ""Modifier"",""data"": {""notes"": ""Sure-Shot: Your kin get a special +10 bonus to their Ranged Skill."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": true,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""+10"",""category"": ""skill"",""targets"": ""Ranged""},""2"": {""value"": 10,""formula"": ""+10"",""category"": ""attack"",""targets"": ""Ranged""}},""tempName"": ""Sure-Shot""}}]"
Superstitious,"[{""name"": ""Superstitious"",""type"": ""Trait"",""data"": {""notes"": ""Superstitious: Your Kin can’t be Wizards, Champions or Dabblers."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}]"
Sun Sensitivity,"[{""name"": ""Sun Sensitivity"",""type"": ""Trait"",""data"": {""notes"": ""Sun Sensitivity: Your Kin loathe sunlight. They’re almost blind in full daylight (suffering a -60 penalty to all their actions) and find difficult to get around even on cloudy days or during dusk and dawn (-20 to their activities in these cases)."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Sun Sensitivity (Full Daylight)"",""type"": ""Modifier"",""data"": {""notes"": ""Sun Sensitivity: Your kin loathe sunlight. They’re almost blind in\nfull daylight (suffering a -60 penalty to all their actions) and\nfind difficult to get around even on cloudy days or during\ndusk and dawn (-20 to their activities in these cases)."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": true,""defence"": true,""skill"": true,""spell"": true,""check"": false,""reaction"": true,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": -60,""formula"": ""-60"",""category"": ""attack"",""targets"": """"},""2"": {""value"": -60,""formula"": ""-60"",""category"": ""skill"",""targets"": """"},""3"": {""value"": -60,""formula"": ""-60"",""category"": ""defence"",""targets"": """"},""4"": {""value"": -60,""formula"": ""-60"",""category"": ""spell"",""targets"": """"},""5"": {""value"": -60,""formula"": ""-60"",""category"": ""reaction"",""targets"": """"}},""tempName"": ""Sun Sensitivity (Full Daylight)""}}, {""name"": ""Sun Sensitivity (Dusk or Dawn)"",""type"": ""Modifier"",""data"": {""notes"": ""Sun Sensitivity: Your kin loathe sunlight. They’re almost blind in\nfull daylight (suffering a -60 penalty to all their actions) and\nfind difficult to get around even on cloudy days or during\ndusk and dawn (-20 to their activities in these cases)."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": true,""defence"": true,""skill"": true,""spell"": true,""check"": false,""reaction"": true,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": -20,""formula"": ""-20"",""category"": ""attack"",""targets"": """"},""2"": {""value"": -20,""formula"": ""-20"",""category"": ""skill"",""targets"": """"},""3"": {""value"": -20,""formula"": ""-20"",""category"": ""defence"",""targets"": """"},""4"": {""value"": -20,""formula"": ""-20"",""category"": ""spell"",""targets"": """"},""5"": {""value"": -20,""formula"": ""-20"",""category"": ""reaction"",""targets"": """"}},""tempName"": ""Sun Sensitivity (Dusk or Dawn)""}}]"
Sun Cursed,"[{""name"": ""Sun Cursed"",""type"": ""Trait"",""data"": {""notes"": ""Sun Cursed: Your Kin are blinded by daylight (suffering a -30 penalty to all their actions) and immediately turn to stone if exposed to direct sunlight. While in this state, they’re essentially stone statues: they cannot take Actions and are oblivious to their surroundings; they don’t need to breathe and are impervious to most attacks. They’re treated as resting for healing purposes, doubling their HPs recovery rate. The effects of any form of Bleeding, poison, or disease from which they are suffering are temporarily halted. They revert to their original state once they’re no longer exposed to sunlight."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Sun Cursed"",""type"": ""Modifier"",""data"": {""notes"": ""Sun Cursed: Your kin are blinded by daylight (suffering a -30 penalty to all their actions) and immediately turn to stone if exposed to direct sunlight. While in this state, they’re essentially stone statues: they cannot take Actions and are oblivious to their surroundings; they don’t need to breathe and are impervious to most attacks. They’re treated as resting for healing purposes, doubling their HPs recovery rate. The effects of any form of Bleeding, poison, or disease from which they are suffering are temporarily halted. They revert to their original state once they’re no longer exposed to sunlight."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": true,""defence"": true,""skill"": true,""spell"": true,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": -30,""formula"": ""-30"",""category"": ""attack"",""targets"": """"},""2"": {""value"": -30,""formula"": ""-30"",""category"": ""defence"",""targets"": """"},""3"": {""value"": -30,""formula"": ""-30"",""category"": ""skill"",""targets"": """"},""4"": {""value"": -30,""formula"": ""-30"",""category"": ""spell"",""targets"": """"}},""tempName"": ""Sun Cursed""}}]"
Stoneborn,"[{""name"": ""Stoneborn"",""type"": ""Trait"",""data"": {""notes"": ""Stoneborn: Your Kin cannot swim, but get a +20 bonus to their Nature and Wandering Rolls while underground."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Stoneborn (Underground)"",""type"": ""Modifier"",""data"": {""notes"": ""Stoneborn: Your kin cannot swim, but get a +20 bonus to their Nature and Wandering Rolls while underground."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 20,""formula"": ""+20"",""category"": ""skill"",""targets"": ""Nature, Wandering""}},""tempName"": ""Stoneborn (Underground)""}}, {""name"": ""Stoneborn (Cannot Swim)"",""type"": ""Modifier"",""data"": {""notes"": ""Stoneborn: Your kin cannot swim, but get a +20 bonus to\ntheir Nature and Wandering Rolls while underground."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": -100,""formula"": ""-100"",""category"": ""skill"",""targets"": ""Athletics""}},""tempName"": ""Stoneborn (Cannot Swim)""}}]"
Stone Skin,"[{""name"": ""Stone Skin"",""type"": ""Trait"",""data"": {""notes"": ""Stone Skin: Your Kin’s bare skin counts as Light Armor."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}]"
Star-Blessed,"[{""name"": ""Star-Blessed"",""type"": ""Trait"",""data"": {""notes"": ""Star-Blessed: The fairest of all the Elven kindred, your Kin must assign their highest Stat Value to their Bearing before Kin Modifiers are applied. They also get a special +20 bonus to their Arcana, Songs & Tales, and Charisma skills."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}, {""name"": ""Star-Blessed"",""type"": ""Modifier"",""data"": {""notes"": ""Star-Blessed: Your kin must assign their highest Stat Value to their Bearing before Kin Modifiers are applied. They also get a special +20 bonus to their Arcana, Songs & Tales, and Charisma skills."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 20,""formula"": ""+20"",""category"": ""skill"",""targets"": ""Arcana, Songs & Tales, Charisma""}},""tempName"": ""Star-Blessed""}}]"
Star Sight,"[{""name"": ""Star Sight"",""type"": ""Trait"",""data"": {""notes"": ""Star Sight: Your Kin can see in natural moonlight or starlight as if it were day, and up to 30 m in Dim Light (treating the first 15m as if they were standing in Bright Light)."",""chartype"": ""CharacterVsD"",""category"": ""perk""}}]"
