spelllore,weave,spell,range,aoe,duration,save,description,warp1,warp2,warp3,spelllore-ref,attack,crit,attacktable,crittable,max
Aspects of Nature,1st,Changer of Hues,0 (self),caster,1 min/lvl,N,"The caster changes the color of their skin and carried equipment to match that of the surrounding vegetation. For the Duration, as long as the caster is at least partially hidden by grass, foliage, or other vegetation, they gain a +30 magical bonus to their Stealth Rolls.",+3 Weave: change Duration to 10 minutes per Level.,,,aspects-of-nature,,,,,
Aspects of Nature,2nd,Aspect of the Hound,0 (self),caster,1 min/lvl,N,"The caster calls upon the spirit of the Hound, which grants them the skill to follow even the faintest tracks. For the Duration, the caster gains a +20 magical bonus to their Hunting Rolls.",+3 Weave: change Duration to 10 minutes per Level.,,,aspects-of-nature,,,,,
Aspects of Nature,3rd,Aspect of the Owl,0 (self),caster,1 min/lvl,N,"The caster calls upon the spirit of the Owl, which blesses them with the ability to see in the darkest of nights. For the Duration, the caster can see up to 30 m in Dim Light (treating the first 15 meters as if they were standing in Bright Light); and up to 3 m in Total Darkness.",+3 Weave: change Duration to 10 minutes per Level.,+5 Weave: the caster can see up to 30 m in Total Darkness as if they were standing in Bright Light instead.,,aspects-of-nature,,,,,
Aspects of Nature,4th,Tree Form,0 (self),caster,1 min/lvl,N,"The caster is covered by an illusion that makes them look like a small tree of their choice as long as they don't move for the Duration. The illusion disappears if the caster moves, but reappears as soon as they stop moving again if this Spell is still active.",+3 Weave: change Duration to 10 minutes per Level. Weave Spell Range Area of Effect Duration Save,,,aspects-of-nature,,,,,
Aspects of Nature,5th,Aspect of the Fox,0 (self),caster,1 min/lvl,N,"The caster calls upon the spirit of the Fox, which blesses them with the unsurpassed cunning of the old trickster. For the Duration, the caster gains a +20 magical bonus to their Deceive Rolls and to all Skill Rolls made to prepare or avoid traps.",+3 Weave: change Duration to 10 minutes per Level.,,,aspects-of-nature,,,,,
Aspects of Nature,6th,Claws of Fury*,0 (self),caster,1 rnd/lvl,N,"For the Duration, the caster's unarmed attacks are resolved on the Beast Attack Table, with a maximum result of 120, delivering Cut Critical Strikes.",+4 Weave: change Duration to 1 minute per Level.,"+1 Weave: increase the caster's unarmed attacks maximum result on the Beast Attack Table by 10, up to a maximum of 150.",,aspects-of-nature,,,,,
Aspects of Nature,7th,Skinchanger,0 (self),caster,1 min/lvl,N,"The caster is covered by an illusion that makes them appear like a Small or Medium-sized animal of their choice for the Duration. The illusion seems real even to close inspection and fools the senses of sight, touch, and smell. Even the tracks left by the caster will appear as those of the chosen animal, as long as this Spell is active.",+3 Weave: change Duration to 10 minutes per Level.,,,aspects-of-nature,,,,,
Aspects of Nature,8th,Aspect of the Bull,0 (self),caster,1 min/lvl,N,"The caster calls upon the spirit of the Bull, which grants them the power to endure even the mightiest of blows. For the Duration, the caster cannot be Stunned and their bare skin protects them as a Light Armor.",,,,aspects-of-nature,,,,,
Aspects of Nature,9th,Aspect of the Boar,0 (self),caster,1 min/lvl,N,"The caster calls upon the spirit of the Boar, which grants them the ferocity and the strength to fell even the greatest of foes. For the Duration, the caster gains a magical +20 bonus to all their melee Attack Rolls, and doubles the Base Damage they deal with their melee attacks when charging, but cannot Parry or use ranged attacks.",,,,aspects-of-nature,,,,,
Aspects of Nature,10th,Master of Shapes,0 (self),caster,1 min/lvl,N,"For the Duration, the caster can take the form of a Small, Medium, or Large animal of their choice. While in this form, they lose the ability to speak and cast Spells, but retain all their other mental capabilities and gain the physical abilities of the chosen animal (including HPs, AT, and natural attacks and abilities). When called to make a Skill Roll, the caster can choose whether to use their own or the animal's standard Skill Bonus for that Roll. The caster reverts to their original form when the Spell expires.  Channeling Becoming a vessel for the Elder Spirits and divine beings, channeling their power to bring judgment on one's enemies.",,,,aspects-of-nature,,,,,
Channeling,1st,Divine Grace,0 (self),caster,1 min/lvl,N,The caster gains a magical +15 bonus to all Charisma Skill Rolls made to influence non-hostile characters for the Duration.,+2 Weave: change Duration to 10 minutes/level.,,,channeling,,,,,
Channeling,2nd,Holy Aura,0 (self),caster,1 min/lvl,N,The caster gains a magical +10 bonus to their DEF for the Duration.,+2 Weave: change Duration to 10 minutes per Level.,,,channeling,,,,,
Channeling,3rd,Stunning Glare*,15 m,1 target,-,Y,Target creature within Range must pass a Save Roll or become Stunned.,,,,channeling,,,,,
Channeling,4th,Holy Terror*,15 m,1 target,1 rnd/10 pnts failure,Y,"The caster utters a holy word, filling target undead or servant of the Darkmaster within Range with a profound sense of dread. The target is made Frightened of the caster for 1 Round for every 10 points of failure in their Save Roll. If the target is immune to fear, they'll suffer a -30 penalty to all Attack Rolls made against the caster for the Duration instead.",+4 Weave: add one target. Weave Spell Range Area of Effect Duration Save,,,channeling,,,,,
